,id_0,0|order_make,0|remove_obstacle,0|ad_opened,0|ad_finished,0|energy,0|energy_get,0|coin_cost,0|coin_get,0|ruby_cost,0|ruby_get,label
459,16d224196dcaa6fe,2.0,8.0,0.0,0.0,71.0,25.0,0.0,275.0,0.0,15.0,0
5211,C1FD24E0-6F9C-4266-8152-050B9F9E358B,1.0,3.0,0.0,0.0,99.0,25.0,0.0,270.0,0.0,15.0,1
4047,b9da816f98c27cb1,9.0,34.0,0.0,0.0,2.0,165.0,540.0,908.0,7.0,41.0,0
3239,993021ed61bb7a8f,2.0,14.0,0.0,0.0,56.0,50.0,35.0,391.0,0.0,20.0,0
3814,7CF0234E-3317-4917-92E6-4F6E195A4F79,16.0,106.0,16.0,8.0,13.0,893.0,1690.0,1766.0,56.0,68.0,1
4752,ddffe959ee437863,0.0,3.0,0.0,0.0,74.0,0.0,0.0,214.0,0.0,5.0,0
1350,2b4f4060469a8448,13.0,55.0,0.0,0.0,0.0,295.0,1030.0,1353.0,12.0,58.0,1
608,136e4f29c7f0cd8a,4.0,37.0,0.0,0.0,27.0,165.0,0.0,670.0,0.0,32.0,1
3761,790a10dfc9bd7813,10.0,59.0,0.0,0.0,74.0,465.0,700.0,1292.0,126.0,154.0,1
3014,8d3275b10f3a6f9f,10.0,60.0,0.0,0.0,247.0,587.0,1460.0,1462.0,35.0,56.0,0
2969,60665c37eb97d1a0,22.0,105.0,16.0,8.0,2.0,840.0,1330.0,1506.0,7.0,59.0,1
6331,be8c9c0c746d3ea0,2.0,14.0,0.0,0.0,57.0,50.0,0.0,442.0,0.0,20.0,1
595,1ce6f07b432af1bb,2.0,8.0,0.0,0.0,92.0,50.0,0.0,438.0,3.0,20.0,0
2981,60cf4bf03977382e,15.0,62.0,2.0,1.0,64.0,335.0,425.0,1412.0,19.0,58.0,1
5807,aad190ecd78b7b7f,19.0,97.0,15.0,6.0,1.0,615.0,650.0,1648.0,0.0,53.0,1
1036,217e9487156e944d,12.0,84.0,2.0,1.0,9.0,525.0,1050.0,1520.0,32.0,57.0,1
430,0cf103ed3ef4900f,4.0,31.0,0.0,0.0,61.0,165.0,0.0,827.0,0.0,33.0,1
6171,b842459884d01aa7,9.0,50.0,0.0,0.0,3.0,335.0,300.0,1318.0,23.0,154.0,1
36,01e66fca6e6a4e94,0.0,3.0,0.0,0.0,74.0,0.0,0.0,214.0,0.0,5.0,0
2815,8387e2ddf40fa53b,9.0,31.0,0.0,0.0,69.0,165.0,0.0,880.0,43.0,43.0,0
2811,5E8E0A28-D4DC-4255-88BE-D4EB3EB3CF2E,2.0,21.0,0.0,0.0,5.0,50.0,205.0,582.0,0.0,20.0,1
986,2e059bf72c73b1f7,0.0,3.0,0.0,0.0,74.0,25.0,0.0,275.0,0.0,15.0,0
3950,7dfd79131f9e4614,17.0,77.0,0.0,0.0,4.0,557.0,1410.0,1413.0,66.0,66.0,1
4787,9978545330543fac,19.0,99.0,0.0,0.0,1.0,745.0,1825.0,1830.0,71.0,76.0,1
7757,f39ed256a1b8f510,12.0,75.0,12.0,6.0,77.0,625.0,1050.0,1376.0,19.0,54.0,1
167,04db65ae4d15acce,10.0,44.0,0.0,0.0,2.0,215.0,520.0,1100.0,0.0,34.0,1
6931,d5a179c1e85d0268,5.0,43.0,0.0,0.0,13.0,215.0,0.0,1139.0,0.0,34.0,1
4921,9ca149d2e9d2bea1,11.0,81.0,24.0,12.0,2.0,575.0,350.0,1450.0,90.0,156.0,1
7573,edcab6ca27e0c491,7.0,57.0,0.0,0.0,1.0,385.0,350.0,1225.0,13.0,56.0,1
2757,80ceb3b92e21bec3,9.0,41.0,0.0,0.0,0.0,165.0,0.0,826.0,29.0,40.0,0
3535,FAD1DAF1-D291-495D-8B93-B9109528346D,6.0,44.0,2.0,1.0,4.0,245.0,0.0,760.0,0.0,31.0,0
3946,b53a55b11026ce84,2.0,8.0,0.0,0.0,91.0,50.0,0.0,336.0,0.0,20.0,0
5271,CF828536-1671-4ADE-A901-94F1B671B7F5,8.0,56.0,0.0,0.0,9.0,325.0,350.0,1118.0,0.0,37.0,1
7442,e99e6e420dbbe1fb,13.0,31.0,0.0,0.0,78.0,180.0,0.0,899.0,0.0,35.0,1
2500,516761c8fd5e30dd,7.0,49.0,3.0,1.0,20.0,265.0,0.0,1042.0,0.0,38.0,1
3160,95125f23bcc9a437,1.0,8.0,0.0,0.0,66.0,25.0,0.0,276.0,0.0,15.0,0
1652,360065cbd641fa4a,2.0,9.0,0.0,0.0,86.0,50.0,0.0,353.0,0.0,20.0,1
3039,62cb2593ba94aa06,3.0,21.0,0.0,0.0,7.0,50.0,0.0,638.0,0.0,21.0,1
1599,345040a12afe1fa8,10.0,73.0,5.0,2.0,2.0,545.0,1200.0,1413.0,20.0,54.0,1
23,01574c4720d9c830,6.0,22.0,0.0,0.0,1.0,50.0,0.0,647.0,0.0,21.0,0
4528,d2656384822d86d3,10.0,31.0,0.0,0.0,7.0,75.0,300.0,1049.0,7.0,46.0,0
4616,d65a8190d9d48227,4.0,5.0,0.0,0.0,89.0,25.0,0.0,286.0,9.0,15.0,0
6785,cff9b556a365fe61,11.0,29.0,0.0,0.0,75.0,165.0,520.0,825.0,32.0,32.0,1
1204,386238f659eb6a1d,0.0,3.0,0.0,0.0,74.0,0.0,0.0,209.0,0.0,5.0,0
2823,5a4a6d9e3ba8c315,15.0,82.0,0.0,0.0,4.0,475.0,350.0,1460.0,0.0,50.0,1
7433,e9148ddd7e76427c,8.0,27.0,2.0,1.0,3.0,75.0,825.0,865.0,2.0,31.0,1
3818,ae55dece760adb2d,8.0,27.0,4.0,2.0,2.0,75.0,0.0,840.0,0.0,31.0,0
