id_0,order_make,remove_obstacle,ad_opened,ad_finished,energy_get,coin_cost,coin_get,ruby_cost,ruby_get,label
fc65035115a2739b,80.0,382.0,2.0,9.0,1925.0,4050.0,5602.0,50.0,553.0,1
50862521-D6E0-4793-BB45-94472E514119,2.0,10.0,0.0,0.0,50.0,0.0,359.0,0.0,20.0,0
bca03169e1bd6659,6.0,22.0,0.0,0.0,50.0,0.0,502.0,7.0,20.0,0
77ae7249d6302c3b,21.0,124.0,0.0,1.0,880.0,1875.0,2047.0,7.0,77.0,0
2d392a986d198c57,12.0,47.0,2.0,4.0,165.0,0.0,1170.0,19.0,36.0,0
4d0bd8345166e8b7,0.0,3.0,0.0,0.0,0.0,0.0,209.0,0.0,5.0,0
e642c89d8cefb400,100.0,391.0,0.0,0.0,1455.0,3310.0,6697.0,19.0,378.0,1
844b63587363b81a,25.0,134.0,8.0,4.0,829.0,2360.0,2765.0,10.0,165.0,0
39209710a61445a3,14.0,70.0,0.0,18.0,485.0,0.0,1377.0,50.0,85.0,0
49dd1feca59078c6,7.0,39.0,0.0,0.0,165.0,225.0,1002.0,0.0,34.0,0
b0d66d07e99fbf89,6.0,50.0,0.0,0.0,265.0,0.0,954.0,0.0,133.0,0
db8eb21790584015,0.0,2.0,0.0,0.0,0.0,0.0,201.0,0.0,5.0,0
f690a79de37ce86d,4.0,31.0,0.0,1.0,255.0,630.0,746.0,0.0,33.0,0
9bb9fb6ec12efdbd,19.0,141.0,0.0,12.0,1112.0,2110.0,2555.0,25.0,93.0,0
0a7e3ef6780b8193,8.0,60.0,0.0,3.0,535.0,1000.0,1106.0,3.0,46.0,0
5644b762fdd1a5bf,104.0,501.0,0.0,0.0,3079.0,5070.0,5119.0,63.0,131.0,1
aaf849a636762b93,9.0,70.0,0.0,0.0,527.0,1185.0,1343.0,3.0,44.0,0
222a2826e624a456,18.0,106.0,0.0,11.0,455.0,525.0,1853.0,0.0,62.0,0
8605d6dc5bef48bb,12.0,70.0,0.0,7.0,445.0,535.0,1389.0,25.0,54.0,0
B29EBF6C-DEEB-4EA2-A2D0-E41B74E8A2B5,9.0,51.0,0.0,0.0,265.0,0.0,957.0,0.0,35.0,0
C2DB1FF6-4392-46A8-B5B7-6857D06B1ADA,5.0,46.0,0.0,0.0,265.0,0.0,1054.0,0.0,34.0,0
